news_id,year,month,day
story_reviews_00000.json,2018,12,16
story_reviews_00001.json,2018,12,17
story_reviews_00003.json,2018,12,13
story_reviews_00005.json,2018,12,3
story_reviews_00007.json,2018,11,27
story_reviews_00008.json,2018,11,24
story_reviews_00009.json,2018,11,18
story_reviews_00011.json,2018,11,16
story_reviews_00012.json,2018,11,14
story_reviews_00013.json,2018,11,12
story_reviews_00015.json,2018,10,31
story_reviews_00017.json,2018,10,24
story_reviews_00018.json,2018,10,20
story_reviews_00021.json,2018,10,15
story_reviews_00022.json,2018,10,9
story_reviews_00023.json,2018,10,9
story_reviews_00026.json,2018,9,28
story_reviews_00027.json,2018,9,26
story_reviews_00028.json,2018,9,24
story_reviews_00029.json,2018,9,23
story_reviews_00030.json,2018,9,18
story_reviews_00031.json,2018,9,14
story_reviews_00032.json,2018,9,11
story_reviews_00033.json,2018,9,11
story_reviews_00035.json,2018,9,2
story_reviews_00036.json,2018,8,29
story_reviews_00039.json,2018,8,22
story_reviews_00041.json,2018,8,14
story_reviews_00043.json,2018,8,8
story_reviews_00045.json,2018,8,2
story_reviews_00047.json,2018,7,24
story_reviews_00049.json,2018,7,17
story_reviews_00050.json,2018,7,16
story_reviews_00051.json,2018,7,11
story_reviews_00052.json,2018,7,11
story_reviews_00054.json,2018,7,4
story_reviews_00055.json,2018,6,27
story_reviews_00056.json,2018,6,26
story_reviews_00057.json,2018,6,27
story_reviews_00058.json,2018,6,25
story_reviews_00059.json,2018,6,21
story_reviews_00061.json,2018,6,19
story_reviews_00062.json,2018,6,12
story_reviews_00064.json,2018,6,5
story_reviews_00065.json,2018,6,4
story_reviews_00066.json,2018,6,1
story_reviews_00067.json,2018,5,26
story_reviews_00069.json,2018,5,16
story_reviews_00070.json,2018,5,18
story_reviews_00071.json,2018,5,16
story_reviews_00072.json,2018,5,12
story_reviews_00073.json,2018,5,9
story_reviews_00076.json,2018,5,1
story_reviews_00077.json,2018,4,30
story_reviews_00079.json,2018,4,22
story_reviews_00080.json,2018,4,18
story_reviews_00082.json,2018,4,16
story_reviews_00085.json,2018,4,9
story_reviews_00086.json,2018,4,2
story_reviews_00087.json,2018,4,2
story_reviews_00089.json,2018,3,28
story_reviews_00090.json,2018,3,26
story_reviews_00091.json,2018,3,22
story_reviews_00092.json,2018,3,20
story_reviews_00093.json,2018,3,19
story_reviews_00095.json,2018,3,15
story_reviews_00098.json,2018,3,12
story_reviews_00099.json,2018,3,7
story_reviews_00100.json,2018,3,5
story_reviews_00101.json,2018,3,5
story_reviews_00102.json,2018,2,27
story_reviews_00103.json,2018,2,23
story_reviews_00104.json,2018,2,20
story_reviews_00105.json,2018,2,22
story_reviews_00106.json,2018,2,19
story_reviews_00107.json,2018,2,14
story_reviews_00112.json,2018,2,3
story_reviews_00113.json,2018,2,5
story_reviews_00114.json,2018,2,1
story_reviews_00116.json,2018,1,26
story_reviews_00117.json,2018,1,24
story_reviews_00119.json,2018,1,22
story_reviews_00120.json,2018,1,18
story_reviews_00121.json,2018,1,12
story_reviews_00124.json,2018,1,8
story_reviews_00125.json,2018,1,3
story_reviews_00126.json,2018,1,1
story_reviews_00127.json,2017,12,29
story_reviews_00128.json,2017,12,26
story_reviews_00129.json,2017,12,20
story_reviews_00130.json,2017,12,18
story_reviews_00131.json,2017,12,18
story_reviews_00132.json,2017,12,14
story_reviews_00134.json,2017,12,6
story_reviews_00135.json,2017,12,7
story_reviews_00137.json,2017,12,4
story_reviews_00138.json,2017,11,30
story_reviews_00139.json,2017,11,28
story_reviews_00140.json,2017,11,27
story_reviews_00142.json,2017,11,20
story_reviews_00144.json,2017,11,14
story_reviews_00145.json,2017,11,10
story_reviews_00147.json,2017,11,5
story_reviews_00148.json,2017,11,2
story_reviews_00150.json,2017,10,26
story_reviews_00151.json,2017,10,27
story_reviews_00154.json,2017,10,20
story_reviews_00155.json,2017,10,19
story_reviews_00156.json,2017,10,14
story_reviews_00160.json,2017,10,5
story_reviews_00164.json,2017,9,28
story_reviews_00165.json,2017,9,26
story_reviews_00166.json,2017,9,25
story_reviews_00167.json,2017,9,22
story_reviews_00168.json,2017,9,19
story_reviews_00169.json,2017,9,20
story_reviews_00171.json,2017,9,14
